sno,statecode,state_name,active_cases_today,active_cases_yesterday,positive_cases_today,positive_cases_yesterday,cured_cases_today,cured_cases_yesterday,death_cases_today,death_cases_yesterday
1,35,Andaman and Nicobar Islands,211,209,6341,6311,6056,6030,74,72
2,28,Andhra Pradesh,187392,186695,1265439,1245374,1069432,1050160,8615,8519
3,12,Arunachal Pradesh,2002,1893,20046,19802,17984,17849,60,60
4,18,Assam,38146,35493,289069,283313,249295,246242,1628,1578
5,10,Bihar,112977,115067,580217,567269,464025,449063,3215,3139
6,4,Chandigarh,8505,8505,49312,48442,40249,39388,558,549
7,22,Chhattisgarh,130859,131041,842356,830117,701116,688918,10381,10158
8,26,Dadra and Nagar Haveli and Daman and Diu,1425,1457,8737,8596,7308,7135,4,4
9,7,Delhi,87907,91035,1310231,1292867,1203253,1183093,19071,18739
10,30,Goa,32387,31716,116213,112462,82214,79189,1612,1557
11,24,Gujarat,143421,146385,669928,658036,518234,503497,8273,8154
12,6,Haryana,116109,115963,602349,587682,480786,466420,5454,5299
13,2,Himachal Pradesh,31893,29513,128330,122906,94607,91600,1830,1793
14,1,Jammu and Kashmir,46535,44307,211742,206954,162535,160035,2672,2612
15,20,Jharkhand,61195,61177,282174,276062,217223,211270,3756,3615
16,29,Karnataka,548861,536661,1886448,1838885,1319301,1284420,18286,17804
17,32,Kerala,417448,402997,1866827,1824856,1443633,1416177,5746,5682
18,37,Ladakh,1412,1400,15179,15023,13614,13471,153,152
19,31,Lakshadweep,1039,1127,3756,3629,2708,2493,9,9
20,23,Madhya Pradesh,102486,95423,660712,649114,551892,547447,6334,6244
21,27,Maharashtra,630467,657019,5053336,4996758,4347592,4265326,75277,74413
22,14,Manipur,3851,3506,34775,34333,30463,30378,461,449
23,17,Meghalaya,2678,2466,19302,18927,16414,16262,210,199
24,15,Mizoram,1951,1906,7551,7382,5583,5459,17,17
25,13,Nagaland,2711,2433,15913,15580,13065,13025,137,122
26,21,Odisha,82724,78602,524207,512400,439322,431658,2161,2140
27,34,Puducherry,13585,13078,70076,68373,55552,54375,939,920
28,3,Punjab,71948,69724,433689,424647,351426,344779,10315,10144
29,8,Rajasthan,199307,199147,738786,720799,533973,516306,5506,5346
30,11,Sikkim,2528,2398,9651,9451,6958,6893,165,160
31,33,Tamil Nadu,139401,135355,1351362,1323965,1196549,1173439,15412,15171
32,36,Telangana,68462,71308,492385,487199,421219,413225,2704,2666
33,16,Tripura,2751,2533,37559,37208,34402,34270,406,405
34,5,Uttarakhand,71174,67691,238383,229993,163661,158872,3548,3430
35,9,Uttar Pradesh,245736,254118,1480315,1453679,1219409,1184688,15170,14873
36,19,West Bengal,125164,124098,973718,954282,836351,818108,12203,12076
