,district_id,district_name
0,3,Nicobar
1,1,North and Middle Andaman
2,2,South Andaman
3,9,Anantapur
4,10,Chittoor
5,11,East Godavari
6,5,Guntur
7,4,Krishna
8,7,Kurnool
9,12,Prakasam
10,13,Sri Potti Sriramulu Nellore
11,14,Srikakulam
12,8,Visakhapatnam
13,15,Vizianagaram
14,16,West Godavari
15,6,"YSR District, Kadapa (Cuddapah)"
16,22,Anjaw
17,20,Changlang
18,25,Dibang Valley
19,23,East Kameng
20,42,East Siang
21,17,Itanagar Capital Complex
22,24,Kamle
23,27,Kra Daadi
24,21,Kurung Kumey
25,33,Lepa Rada
26,29,Lohit
27,40,Longding
28,31,Lower Dibang Valley
29,18,Lower Siang
30,32,Lower Subansiri
31,36,Namsai
32,19,Pakke Kessang
33,39,Papum Pare
34,35,Shi Yomi
35,37,Siang
36,30,Tawang
37,26,Tirap
38,34,Upper Siang
39,41,Upper Subansiri
40,28,West Kameng
41,38,West Siang
42,46,Baksa
43,47,Barpeta
44,765,Biswanath
45,57,Bongaigaon
46,66,Cachar
47,766,Charaideo
48,58,Chirang
49,48,Darrang
50,62,Dhemaji
51,59,Dhubri
52,43,Dibrugarh
53,67,Dima Hasao
54,60,Goalpara
55,53,Golaghat
56,68,Hailakandi
57,764,Hojai
58,54,Jorhat
59,49,Kamrup Metropolitan
60,50,Kamrup Rural
61,51,Karbi-Anglong
62,69,Karimganj
63,61,Kokrajhar
64,63,Lakhimpur
65,767,Majuli
66,55,Morigaon
67,56,Nagaon
68,52,Nalbari
69,44,Sivasagar
70,64,Sonitpur
71,768,South Salmara Mankachar
72,45,Tinsukia
73,65,Udalguri
74,769,West Karbi Anglong
75,74,Araria
76,78,Arwal
77,77,Aurangabad
78,83,Banka
79,98,Begusarai
80,82,Bhagalpur
81,99,Bhojpur
82,100,Buxar
83,94,Darbhanga
84,105,East Champaran
85,79,Gaya
86,104,Gopalganj
87,107,Jamui
88,91,Jehanabad
89,80,Kaimur
90,75,Katihar
91,101,Khagaria
92,76,Kishanganj
93,84,Lakhisarai
94,70,Madhepura
95,95,Madhubani
96,85,Munger
97,86,Muzaffarpur
98,90,Nalanda
99,92,Nawada
100,97,Patna
101,73,Purnia
102,81,Rohtas
103,71,Saharsa
104,96,Samastipur
105,102,Saran
106,93,Sheikhpura
107,87,Sheohar
108,88,Sitamarhi
109,103,Siwan
110,72,Supaul
111,89,Vaishali
112,106,West Champaran
113,108,Chandigarh
114,110,Balod
115,111,Baloda bazar
116,112,Balrampur
117,113,Bastar
118,114,Bemetara
119,115,Bijapur
120,116,Bilaspur
121,117,Dantewada
122,118,Dhamtari
123,119,Durg
124,120,Gariaband
125,136,Gaurela Pendra Marwahi 
126,121,Janjgir-Champa
127,122,Jashpur
128,123,Kanker
129,135,Kawardha
130,124,Kondagaon
131,125,Korba
132,126,Koriya
133,127,Mahasamund
134,128,Mungeli
135,129,Narayanpur
136,130,Raigarh
