,state,name,city,ownership,admissionCapacity,hospitalBeds
0,A & N Islands,"Andaman & Nicobar Islands Insitute of Medical Sciences, Port Blair",Port Blair,Govt.,100,460
1,Andhra Pradesh,ACSR Government Medical College Nellore,Nellore,Govt.,150,750
2,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Eluru,Trust,150,1070
3,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Visakhapatnam,Govt.,200,2017
4,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Chittoor,Society,150,0
5,Andhra Pradesh,"Dr. P.S.I. Medical College , Chinoutpalli",Chinoutpalli,Trust,150,398
6,Andhra Pradesh,"Fathima Instt. of Medical Sciences, Kadapa",Kadapa,Trust,100,450
7,Andhra Pradesh,Gayathri Vidya Parishad Inst. of Health Care & Med. Tech. Visakhapatnam,Visakhapatnam,Society,150,0
8,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatam",Visakhapatanam,University,150,0
9,Andhra Pradesh,"Government Medical College, Anantapuram",Anantapurram,Govt.,100,500
10,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Vijaywada,Govt.,150,412
11,Andhra Pradesh,"Great Eastern Medical School and Hospital,Srikakulam",Srikakulam,Trust,100,350
12,Andhra Pradesh,"GSL Medical College, Rajahmundry",Rajahmundry,Trust,200,1000
13,Andhra Pradesh,"Guntur Medical College, Guntur",Guntur,Govt.,200,1277
14,Andhra Pradesh,"Katuri Medical College, Guntur",Guntur,Trust,150,900
15,Andhra Pradesh,"Konaseema Institute of Med. Sci. & Research Foundation, Amalapuram",Amalapuram,Trust,150,879
16,Andhra Pradesh,"Kurnool Medical College, Kurnool",Kurnool,Govt.,200,1050
17,Andhra Pradesh,"Maharajah Institute of Medical Sciences, Vizianagaram",Vizianagaram,Trust,150,1050
18,Andhra Pradesh,"Narayana Medical College, Nellore",Nellore,Trust,250,1550
19,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist.",Krishna Dist.,Society,0,0
20,Andhra Pradesh,"NRI Institute of Medical Sciences, Visakhapatnam",Visakhapatnam,Trust,150,360
21,Andhra Pradesh,"NRI Medical College, Guntur",Guntur,Trust,150,1000
22,Andhra Pradesh,"P E S Institute Of Medical Sciences and Research, Kuppam",Kuppam,Trust,150,750
23,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Kadapa",Kadapa,Govt.,150,750
24,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Srikakulam,Govt.,100,300
25,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences,Ongole, AP",Ongole,Govt.,100,300
26,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Kakinada,Govt.,200,1085
27,Andhra Pradesh,"RVS Institute of Medical Sciences, Chittoor",Chittoor,Society,0,0
28,Andhra Pradesh,"S V Medical College, Tirupati",Tirupati,Govt.,200,862
29,Andhra Pradesh,"Santhiram Medical College, Nandyal",Nandyal,Trust,100,700
30,Andhra Pradesh,"SVIM-Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati",Tirupati,Govt.,150,650
31,Andhra Pradesh,"Viswabharathi Medical College, Kurnool",Kurnool,Society,150,0
32,Assam,"Assam Medical College, Dibrugarh",Dibrugarh,Govt.,170,1365
33,Assam,"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam","Barpeta,",Govt-Society,100,500
34,Assam,"Gauhati Medical College, Guwahati",Guwahati,Govt.,156,1982
35,Assam,"Jorhat Medical College & Hospital , Jorhat",Jorhat,Govt.,100,400
36,Assam,"Silchar Medical College, Silchar",Silchar,Govt.,100,906
37,Assam,"Tezpur Medical College & Hospital, Tezpur",Tezpur,Govt.,100,500
38,Tripura,"Agartala Government Medical College,Agartala",Agartala,Govt.,100,695
39,Tripura,"Tripura Medical College and Dr. B R A M Teaching Hospital, Agartala",Agartala,Trust,100,500
40,Punjab,"Adesh Institute of Medical Sciences & Research, Bhatinda",Bhatinda,Trust,150,700
41,Punjab,"Christian Medical College, Ludhiana",Ludhiana,Trust,75,650
42,Punjab,"Dayanand Medical College & Hospital, Ludhiana",Ludhiana,Trust,100,1048
43,Punjab,"Government Medical College, Amritsar",Amritsar,Govt.,200,1091
44,Punjab,"Government Medical College, Patiala",Patiala,Govt.,200,1106
45,Punjab,"Guru Govind Singh Medical College, Faridkot",Faridkot,Govt.,100,500
46,Punjab,"Punjab Institute of Medical Sciences, Jalandhar",Jalandhar,Trust,150,500
47,Punjab,"Sri Guru Ram Das Institute of Medical Sciences and Research, Sri Amritsar",Amritsar,Trust,150,875
48,Rajasthan,"All India Institute of Medical Sciences, Jodhpur",Jodhpur,Govt.,100,0
49,Rajasthan,"American International Institute of Medical Sciences, Bedwas",Bedwas,Private,0,0
50,Rajasthan,"Ananta Institute of Medcial Sciences & Research Centre, Rajsamand",Rajsamand,Society,0,0
51,Rajasthan,"Dr SN Medical College, Jodhpur",Jodhpur,Govt.,250,2831
52,Rajasthan,"Geetanjali Medical College & Hospital,Udaipur",Udaipur,Trust,150,0
53,Rajasthan,"Government Medical College, Kota",Kota,Govt.,150,1172
54,Rajasthan,"Jaipur National University Institute of Medical Sciences and Research Centre, Jajatpur, Jaipur.",Jaipur,University,150,0
55,Rajasthan,"Jawaharlal Nehru Medical College, Ajmer",Ajmer,Govt.,150,1328
56,Rajasthan,"Jhalawar Medical College, Jhalawar",Jhalawar,Govt.,150,580
57,Rajasthan,"Mahatma Gandhi Medical College and Hospital, Jaipur",Jaipur,Trust,150,0
58,Rajasthan,"National Institute of Medical Science & Research, Jaipur",Jaipur,Trust,100,0
59,Rajasthan,"Pacific Medical College & Hospital, Bhilo Ka Bedla, Udaipur",Udaipur,Trust,150,0
60,Rajasthan,"Pacific Institute of Medical Sciences, Umarda, Udaipur.",Udaipur,Society,150,0
